Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio
svcrbf,100.0,100.0,100.0,100.0,0.0,89.76827094474152,90.14243273066802,89.34872922776148,80.25581024653773,6.981672447688696,87.6190476190476,88.88066604995375,86.03129445234708,77.30930074639886,2.5427520994827493,1
svclin,100.0,100.0,100.0,100.0,0.0,90.39215686274511,90.2483084227506,90.39724842144196,81.80403691152293,9.512484787802054,85.23809523809526,84.81638233198075,85.61265519631942,70.6792616358268,5.116186459739506,1
logistic,100.0,100.0,100.0,100.0,0.0,90.98039215686273,90.80009015100293,91.04729729729729,83.0663716075563,7.329107570885335,85.71428571428571,85.82124625232964,85.59436026253951,71.49346964044983,4.767450986414868,1
random,100.0,100.0,100.0,100.0,0.0,90.37433155080214,90.41649895539838,90.28679653679653,81.27661311625393,9.433372860922631,85.23809523809524,84.96361721092293,85.48607376741239,70.58248009511996,6.139916799465651,1
knn,100.0,100.0,100.0,100.0,0.0,81.31907308377897,78.91244239631337,83.19298245614036,64.72052503689414,8.813802817996269,84.28571428571429,83.23076923076923,85.21212121212122,69.1164112373702,2.408445399700285,1
svcrbf,100.0,100.0,100.0,100.0,0.0,91.95918367346938,94.28088393373942,86.22222222222221,82.49958292551045,11.165194979481294,91.11111111111111,93.75741861135118,84.55855855855854,80.43818704163307,3.094671083314037,2
svclin,100.0,100.0,100.0,100.0,0.0,91.17551020408163,93.1868309762011,87.40431724472471,80.91747017289515,10.060371874574415,85.07936507936509,88.449669685372,78.87443540546825,67.82111032857263,2.4905395955019034,2
logistic,100.0,100.0,100.0,100.0,0.0,91.96734693877552,93.91606972169632,88.10311639913157,82.27018569905879,8.130600538283014,86.34920634920636,89.32655826558266,81.0592885375494,70.99265593328008,2.9998154209104926,2
random,99.9,99.9245283018868,99.85185185185185,99.77762261950191,0.4972509394520544,91.95918367346938,94.18251313903487,86.92345992902166,81.79962635602695,12.322376574162705,90.47619047619047,92.92945085010749,85.40766550522648,78.40544698945048,4.517547973428882,2
knn,100.0,100.0,100.0,100.0,0.0,89.15102040816326,91.68580950166627,84.13092979127136,76.50309408061598,9.72920903400877,88.25396825396827,91.12393826175784,82.63163193395752,73.8077503125755,5.932386476819329,2
